hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
27, 2700.00000, 7415.54, -0.000015272, 7415.54, -120, 7415.54, 120, 279.54, -14.959, 280.707, -136.516, 272.294, 105.471
28, 0.00000, 7415.54, -0.0000123672, 7415.54, -120, 7415.54, 120, 245.059, -17.4463, 239.389, -138.847, 241.286, 103.526
28, 900.00000, 7415.54, -0.0000104882, 7415.54, -120, 7415.54, 120, 216.168, -18.586, 205.426, -142.031, 212.378, 101.956
28, 1800.00000, 7415.54, -0.0000141495, 7415.54, -120, 7415.54, 120, 261.596, -15.2847, 257.975, -136.569, 251.579, 105.161
28, 2700.00000, 7415.54, -0.0000132637, 7415.54, -120, 7415.54, 120, 248.353, -15.6936, 243.378, -136.939, 238.614, 104.732
29, 0.00000, 7415.54, -0.000013115, 7415.54, -120, 7415.54, 120, 245.547, -15.6901, 242.674, -137.259, 233.161, 104.436
29, 900.00000, 7415.54, -0.0000132994, 7415.54, -120, 7415.54, 120, 249.374, -15.7392, 246.388, -137.289, 237.226, 104.509
29, 1800.00000, 7415.54, -2.73049E-6, 7415.54, -120, 7415.54, 120, 137.154, -34.427, 142.846, -156.997, 143.663, 88.6338
29, 2700.00000, 7415.54, -3.69044E-6, 7415.54, -120, 7415.54, 120, 142.544, -31.2208, 132.996, -161.471, 144.367, 89.7404
30, 0.00000, 7415.54, -0.0000166206, 7415.54, -120, 7415.54, 120, 310.991, -15.6805, 299.812, -137.852, 301.583, 104.528
30, 900.00000, 7415.54, -0.0000171576, 7415.54, -120, 7415.54, 120, 316.15, -15.183, 311.709, -137.539, 315.648, 104.977
30, 1800.00000, 7415.54, -0.0000176864, 7415.54, -120, 7415.54, 120, 322.383, -14.8258, 321.971, -136.602, 319.726, 105.306
30, 2700.00000, 7415.54, -0.0000167948, 7415.54, -120, 7415.54, 120, 305.354, -14.7391, 303.971, -136.65, 305.859, 105.218
31, 0.00000, 7415.54, -0.0000102847, 7415.54, -120, 7415.54, 120, 233.134, -21.1408, 227.7, -142.235, 229.782, 100.039
31, 900.00000, 7415.54, 8.04613E-7, 7415.54, -120, 7415.54, 120, 91.9048, -49.4848, 89.8523, 176.374, 90.5088, 72.1064
31, 1800.00000, 7415.54, -9.42022E-6, 7415.54, -120, 7415.54, 120, 185.422, -17.2313, 178.555, -141.528, 176.917, 102.247
