"School_name","Lat","Lon","ID"
"OVERBY-SHEPPARD ELEM",37.563733,-77.424236,258
"PATRICK HENRY SCHOOL OF SCIENCE AND ARTS",37.51646695,-77.46960261,259
"RICHMOND COMMUNITY HIGH",37.57053715,-77.42992166,260
"RIVER CITY MIDDLE",37.4814369,-77.50981483,261
"SOUTHAMPTON ELEM",37.5440396,-77.53405633,262
"SUMMER HILL PRESCHOOL CENTER",37.47532005,-77.44623535,263
"SWANSBORO ELEM",37.51103078,-77.4668997,264
"THOMAS C. BOUSHALL MIDDLE",37.473896,-77.468875,265
"THOMAS JEFFERSON HIGH",37.570703,-77.485883,266
"WESTOVER HILLS ELEM",37.52106148,-77.49316333,267
"WILLIAM FOX ELEM",37.5543183,-77.4681761,268
"WOODVILLE ELEM",37.54596955,-77.40146879,269
"BERKELEY MIDDLE",37.27549336,-76.73850491,270
"JAMES BLAIR MIDDLE",37.29169015,-76.72471718,271
"MATTHEW WHALEY ELEM",37.27405041,-76.7041897,272
"CLARA BYRD BAKER ELEM",37.2488481,-76.7662695,273
"D.J. MONTAGUE ELEM",37.31065735,-76.79211824,274
"J BLAINE BLAYTON ELEM",37.33363055,-76.80601247,275
"JAMES RIVER ELEM",37.2094809,-76.61730905,276
"JAMESTOWN HIGH",37.25249385,-76.78880339,277
"LAFAYETTE HIGH",37.31610005,-76.76389826,278
"LAUREL LANE ELEM",37.24810135,-76.7327977,279
"LOIS HORNSBY MIDDLE",37.33504412,-76.8070251,280
"MATOAKA ELEM",37.2762384,-76.8174523,281
"NORGE ELEM",37.36428185,-76.76997228,282
"STONEHOUSE ELEM",37.39429255,-76.79457704,283
"TOANO MIDDLE",37.37637675,-76.80090873,284
"WARHILL HIGH",37.33131485,-76.75802648,285
"BETHEL MANOR ELEM",37.09386063,-76.4229927,286
"BRUTON HIGH",37.315703,-76.692887,287
"COVENTRY ELEM",37.1067254,-76.44012831,288
"DARE ELEM",37.16270885,-76.45823277,289
"GRAFTON BETHEL ELEM",37.1484309,-76.453483,290
"GRAFTON HIGH",37.16383857,-76.47008717,291
"GRAFTON MIDDLE",37.164028,-76.467004,292
"MAGRUDER ELEM",37.26706385,-76.67319486,293
"MT. VERNON ELEM",37.14021283,-76.44596859,294
"QUEENS LAKE MIDDLE",37.28357705,-76.67181297,295
"SEAFORD ELEM",37.18618625,-76.44500658,296
"TABB ELEM",37.1134482,-76.43128502,297
"TABB HIGH",37.12377185,-76.43365457,298
"TABB MIDDLE",37.125842,-76.451781,299
"WALLER MILL ELEM",37.2923177,-76.7123401,300
"YORK HIGH",37.20419347,-76.50027866,301
"YORK RIVER ACADEMY",37.20498005,-76.5018581,302
"YORKTOWN ELEM",37.1989253,-76.505304,303
"YORKTOWN MIDDLE",37.22777144,-76.51575498,304
