hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
30, 2700.00000, 2999.61, 6.36013, 3185.28, 10.1428, 2991.7, 6.88703
31, 0.00000, 1729.02, 15.4626, 1987.79, 20.7214, 1893.32, 13.5813
31, 900.00000, 855.18, 133.237, 871.511, 101.128, 578.165, 109.21
31, 1800.00000, 1459.96, 10.0018, 1525.29, 15.1343, 1542.78, 9.26354
31, 2700.00000, 2307.87, 3.88603, 2435.61, 8.27374, 2289.25, 3.97654
32, 0.00000, 2269.4, 3.19094, 2313.2, 8.31844, 2221.78, 3.10364
32, 900.00000, 2164, 2.37685, 2305.15, 7.17813, 2151.29, 2.50904
32, 1800.00000, 2108.2, 2.03413, 2044.03, 5.55057, 2093.21, 2.16072
32, 2700.00000, 700.063, 16.0286, 838.816, 21.2811, 868.848, 11.8536
33, 0.00000, 1345.39, 4.62183, 1312.32, 9.7179, 1446.56, 4.83972
33, 900.00000, 2159.75, 2.17547, 2189.39, 4.90076, 2183.5, 2.61489
33, 1800.00000, 2223.24, 2.28797, 2185.3, 5.41357, 2252.65, 2.91595
33, 2700.00000, 2405.91, 3.29866, 2499.61, 5.96631, 2425.45, 4.12428
34, 0.00000, 2560.74, 4.26606, 2620.18, 8.00816, 2556.37, 4.69426
34, 900.00000, 1637.3, 12.8827, 1897.76, 16.8782, 1768.97, 11.8645
34, 1800.00000, 1319.04, 18.8018, 1451.17, 23.2381, 1485.97, 16.0446
34, 2700.00000, 2657.93, 7.49371, 2799.52, 10.4566, 2683.84, 7.95515
35, 0.00000, 2975.72, 6.257, 2971.53, 9.65602, 2988.18, 6.84743
35, 900.00000, 3003.83, 6.5404, 3193.86, 10.4433, 3014.7, 7.15347
35, 1800.00000, 3069.05, 6.72295, 3118.84, 10.1783, 3054.58, 7.07277
35, 2700.00000, 2644.53, 8.88956, 2798.62, 12.4802, 2647.9, 8.80175
36, 0.00000, 693.998, 99.1973, 868.492, 82.0645, 662.284, 70.8269
36, 900.00000, 1111.84, 25.4235, 1508.2, 26.1555, 1273.85, 21.5482
36, 1800.00000, 2929.9, 6.33432, 3040.06, 9.88857, 2936.58, 6.71446
36, 2700.00000, 2885.97, 6.04326, 3042.32, 9.05607, 2911.22, 6.39694
37, 0.00000, 2920.33, 6.21191, 2979.38, 9.5896, 2942.97, 6.73178
37, 900.00000, 2972.36, 6.4536, 3173.83, 10.5697, 2948.14, 6.83648
37, 1800.00000, 2217.51, 9.96373, 2321.25, 14.7224, 2304.08, 9.77444
37, 2700.00000, 2878.46, 8.03168, 3091.69, 12.2977, 2927.18, 8.18911
38, 0.00000, 3210.99, 6.98254, 3382.87, 11.4997, 3253.99, 7.25806
38, 900.00000, 3220.01, 6.92386, 3477.29, 10.7956, 3219.02, 7.26424
38, 1800.00000, 3129.69, 6.47251, 3338.75, 10.75, 3157.37, 6.9202
38, 2700.00000, 2995.5, 6.01443, 3243.98, 10.4158, 3018.89, 6.47528
39, 0.00000, 1936.3, 11.6754, 2197.28, 18.3494, 2043.73, 10.6496
39, 900.00000, 524.007, 73.0028, 839.66, 56.4437, 634.333, 45.2335
39, 1800.00000, 1329.74, 11.6628, 1461.7, 17.1144, 1470.22, 10.7057
39, 2700.00000, 2404.7, 3.99938, 2437.3, 6.77437, 2364.98, 3.88056
40, 0.00000, 2411.03, 3.90912, 2316.7, 6.70663, 2377.82, 3.87437
40, 900.00000, 2312.29, 2.63014, 2414.07, 6.75096, 2310.72, 2.95547
40, 1800.00000, 2262.14, 2.26336, 2184.87, 5.46811, 2260.34, 2.7163
40, 2700.00000, 461.928, 123.669, 481.834, 101.223, 334.776, 78.4126
41, 0.00000, 374.823, 43.9979, 487.125, 48.8164, 552.239, 26.0543
41, 900.00000, 2350.7, 2.10686, 2443.42, 6.15086, 2347.17, 2.60283
41, 1800.00000, 2451.55, 2.5153, 2440.07, 6.3003, 2446.78, 3.09487
41, 2700.00000, 2582.38, 2.9329, 2627.9, 5.34144, 2531.08, 3.32931
42, 0.00000, 2639.04, 3.50577, 2599.76, 6.34582, 2619.82, 3.94592
42, 900.00000, 979.247, 26.4491, 1396.2, 28.4309, 1216.57, 19.2552
42, 1800.00000, 573.68, 76.4292, 849.373, 64.6489, 660.32, 49.084
42, 2700.00000, 2666.32, 7.86621, 2883.82, 12.0534, 2678.56, 7.74328
43, 0.00000, 3149.19, 6.46539, 3172.04, 10.671, 3110.51, 6.59518
43, 900.00000, 3107.79, 6.73208, 3261.3, 10.3762, 3098.53, 6.8674
43, 1800.00000, 3163.41, 6.82909, 3204.34, 10.941, 3167.43, 7.14615
43, 2700.00000, 2540.94, 10.1637, 2677.8, 14.0792, 2570.18, 9.797
44, 0.00000, 775.78, 110.514, 918.147, 93.1702, 650.881, 79.7481
44, 900.00000, 1079.04, 27.557, 1422.45, 29.5914, 1249.55, 22.3253
44, 1800.00000, 2928.08, 6.53069, 2875.33, 9.56603, 2921.02, 6.94262
44, 2700.00000, 2942.48, 6.43136, 3092.04, 10.0981, 2950.6, 6.64474
45, 0.00000, 2925.03, 6.56716, 2878.87, 9.49208, 2974.14, 7.07072
45, 900.00000, 2980.79, 6.97784, 3073.32, 10.0682, 2954.38, 7.18896
45, 1800.00000, 2186.4, 11.4598, 2197.12, 16.2916, 2231.41, 10.5826
45, 2700.00000, 1196.46, 26.6732, 1481.89, 29.8658, 1368.85, 21.4599
46, 0.00000, 3231.76, 7.26963, 3240.5, 10.473, 3233.72, 7.2104
46, 900.00000, 3224.43, 6.74457, 3348.31, 9.43945, 3233.5, 6.85896
46, 1800.00000, 3194.2, 6.4843, 3329.88, 10.6029, 3208.83, 6.83354
46, 2700.00000, 3082.95, 6.42209, 3287.09, 10.1657, 3145.74, 6.83466
47, 0.00000, 2247.15, 10.2932, 2328.23, 14.4267, 2357.36, 9.68379
47, 900.00000, 808.896, 126.539, 820.142, 101.451, 598.938, 88.0502
47, 1800.00000, 1443.19, 12.1384, 1714.1, 19.432, 1591.87, 10.9811
47, 2700.00000, 2526.42, 4.12441, 2714.34, 9.08238, 2522.53, 4.50931
48, 0.00000, 2426.42, 3.14554, 2486.91, 8.00181, 2450.85, 3.7066
48, 900.00000, 2315.19, 2.29501, 2447.68, 6.69163, 2302.31, 2.60913
48, 1800.00000, 2204.47, 2.13393, 2196.95, 6.66576, 2214.99, 2.594
48, 2700.00000, 855.75, 149.367, 740.613, 127.19, 501.893, 133.124
49, 0.00000, 443.234, 137.121, 461.707, 118.096, 282.583, 93.3402
49, 900.00000, 2288.22, 1.9695, 2311.94, 4.50155, 2296.99, 2.46596
