hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
38, 2700.00000, 2203.5, 16.5521, 2095.75, 14.2932, 2353.72, 22.2691
39, 0.00000, 1517.01, 30.753, 1603.86, 21.3765, 1575.16, 26.2638
39, 900.00000, 1147.26, 78.0739, 956.608, 44.9332, 1245.35, 53.1313
39, 1800.00000, 1194.77, 33.1272, 1283.36, 22.714, 1475.62, 36.1667
39, 2700.00000, 1584.21, 15.0721, 1571.65, 13.9366, 1700.21, 16.8814
40, 0.00000, 1529.54, 16.0309, 1547.75, 12.7762, 1712.91, 22.376
40, 900.00000, 1482.66, 13.5711, 1533.19, 12.7065, 1568.73, 13.9018
40, 1800.00000, 1408.43, 14.9733, 1435.82, 12.5188, 1460.69, 14.3234
40, 2700.00000, 2263.47, 83.5465, 659.814, 54.5619, 718.004, 59.6265
41, 0.00000, 674.189, 73.8872, 774.411, 37.4515, 765.087, 49.1539
41, 900.00000, 1417.91, 12.8434, 1470.89, 11.4898, 1584.25, 12.7986
41, 1800.00000, 1476.22, 14.2569, 1541.81, 11.0954, 1575.92, 13.2623
41, 2700.00000, 1646.32, 12.6215, 1675.1, 11.268, 1854.77, 17.4158
42, 0.00000, 1654.94, 14.4038, 1682.92, 11.6551, 1853.49, 19.9091
42, 900.00000, 1395.82, 68.5278, 989.535, 34.1302, 1129.04, 34.5881
42, 1800.00000, 981.429, 83.9197, 891.92, 48.4049, 971.56, 56.2976
42, 2700.00000, 1777.03, 19.3772, 1837.9, 16.2237, 1947.11, 17.9415
43, 0.00000, 1997.2, 17.3462, 2006.85, 14.1574, 2241.72, 22.1301
43, 900.00000, 1995.76, 17.0776, 1975.48, 14.9565, 2091.83, 16.3292
43, 1800.00000, 2126.08, 18.0808, 2080.68, 15.3852, 2003.01, 17.6758
43, 2700.00000, 1690.74, 24.3674, 1673.43, 19.5868, 1891.4, 27.773
44, 0.00000, 10430.3, 50.2993, 793.479, 65.5803, 881.959, 78.8797
44, 900.00000, 1148.05, 46.8189, 1253.93, 31.9681, 1352.95, 46.7575
44, 1800.00000, 1934.4, 17.8865, 1842.36, 15.2788, 1804.66, 20.1739
44, 2700.00000, 1909.16, 16.6658, 1842.58, 15.1485, 1830.5, 16.7373
45, 0.00000, 1889.48, 20.0415, 1806.28, 15.4797, 1743.91, 18.5992
45, 900.00000, 2064.51, 18.7014, 1854.67, 15.4347, 1980.98, 20.0392
45, 1800.00000, 1630.78, 29.8871, 1579.44, 21.8036, 1592.93, 28.2849
45, 2700.00000, 1192.04, 48.3614, 1291.82, 32.4781, 1615.15, 41.3368
46, 0.00000, 2176.46, 17.6145, 2083.1, 15.0331, 2275.65, 22.6826
46, 900.00000, 2197.16, 15.7731, 2176.45, 14.3817, 2448.29, 19.5105
46, 1800.00000, 2320.59, 16.7217, 2266.18, 13.9318, 2403.05, 21.5954
46, 2700.00000, 2299.91, 17.6169, 2146.9, 14.3695, 2240.2, 15.5537
47, 0.00000, 1793.91, 26.7648, 1776.51, 19.334, 2019.3, 30.8346
47, 900.00000, 4440.16, 62.8364, 843.086, 60.7757, 1272.24, 68.121
47, 1800.00000, 1272.13, 31.4991, 1368.53, 21.9565, 1548.96, 34.2031
47, 2700.00000, 1652.77, 14.531, 1595.54, 12.8801, 1930.58, 21.3767
48, 0.00000, 1585.48, 15.2539, 1577.79, 12.3052, 1786.17, 21.6138
48, 900.00000, 1479.88, 13.2998, 1477.84, 11.8868, 1772.8, 20.7958
48, 1800.00000, 1370.42, 15.2439, 1392.99, 12.1622, 1473.49, 14.8216
48, 2700.00000, 11071.4, 60.8118, 531.458, 77.2859, 628.918, 78.6904
49, 0.00000, 719.907, 103.243, 611.836, 53.6671, 877.58, 68.6883
49, 900.00000, 1393.66, 13.0422, 1424.14, 11.4714, 1756.06, 20.0178
49, 1800.00000, 1449.5, 14.1839, 1489.82, 11.1533, 1582.72, 13.1625
49, 2700.00000, 1612.72, 12.5661, 1611.45, 10.8583, 1772.13, 12.4998
50, 0.00000, 1634.22, 14.2028, 1659.19, 11.0249, 1716.98, 12.9541
50, 900.00000, 961.599, 48.8811, 1145.23, 26.729, 1491.1, 34.7267
50, 1800.00000, 1529.17, 85.7271, 789.791, 58.6846, 1180.18, 66.3146
50, 2700.00000, 1663.21, 20.8731, 1714.99, 16.7403, 1860.2, 18.4643
51, 0.00000, 1890.78, 16.7604, 1911.5, 14.4175, 2141.09, 18.2385
51, 900.00000, 1906.73, 16.3929, 1881.28, 14.6537, 2118.82, 19.8039
51, 1800.00000, 1950.4, 16.902, 1852.43, 14.5405, 1954.76, 20.2429
51, 2700.00000, 1552.82, 23.5077, 1552.44, 19.707, 1889.76, 28.3109
52, 0.00000, 2211.16, 78.0973, 844.586, 55.4868, 1218.56, 65.5721
52, 900.00000, 1039.95, 50.5667, 1197.16, 32.162, 1476.96, 45.2537
52, 1800.00000, 1839.93, 17.3046, 1764.59, 14.4231, 1987.28, 23.558
52, 2700.00000, 1722.31, 16.7332, 1705.06, 14.919, 1792.15, 16.6841
53, 0.00000, 1706.35, 19.0983, 1716.95, 15.451, 1674.19, 17.9847
53, 900.00000, 1858.64, 18.3652, 1764.28, 15.2884, 1829.1, 17.0247
53, 1800.00000, 6087.06, 63.7444, 875.463, 51.9629, 1155.79, 62.6014
53, 2700.00000, 1246.05, -120.116, 964.584, 56.024, 1156.08, 70.0798
54, 0.00000, 2039.71, 17.7831, 2004.79, 15.4436, 1969.64, 17.919
54, 900.00000, 2194.41, 16.7781, 2057.05, 14.5488, 2341.36, 21.4335
54, 1800.00000, 2195.39, 16.9059, 2126.48, 14.4499, 2094.06, 16.5572
54, 2700.00000, 2151.12, 16.3379, 2048.04, 14.3917, 2119.74, 16.254
55, 0.00000, 1857.75, 21.6749, 1803.33, 17.0404, 2065.56, 29.5816
55, 900.00000, 5186.23, 66.4738, 813.551, 64.366, 1506.88, 64.9372
55, 1800.00000, 1144.48, 38.1918, 1234.72, 25.1538, 1494.59, 37.9974
55, 2700.00000, 1627.55, 14.4454, 1544.66, 12.4854, 1779.73, 17.004
56, 0.00000, 1556.26, 15.0235, 1559.82, 12.2964, 1590.41, 14.3981
56, 900.00000, 1506.67, 12.9781, 1490.8, 11.967, 1599.52, 13.272
56, 1800.00000, 1375.71, 15.4339, 1404.78, 12.1047, 1642.09, 22.1179
56, 2700.00000, 1291.23, 90.6327, 656.794, 48.7986, 879.837, 58.4465
57, 0.00000, 806.418, 101.868, 642.83, 52.6583, 714.044, 69.8341
57, 900.00000, 1497.75, 12.2971, 1526.98, 11.0518, 1665.6, 12.4774
57, 1800.00000, 1565.78, 13.5112, 1589.26, 10.5788, 1685.88, 12.7231
57, 2700.00000, 1744.22, 12.2722, 1741.19, 10.6676, 2054.85, 18.6275
58, 0.00000, 1811.96, 13.7362, 1851.22, 11.1065, 2039.23, 19.0791
58, 900.00000, 2924.75, 63.6133, 1087.79, 33.0061, 1414.54, 38.4114
58, 1800.00000, 15376, -102.212, 904.543, 53.8075, 1470.93, 73.804
58, 2700.00000, 1736.99, 21.089, 1883.99, 16.8374, 2164.62, 24.5993
59, 0.00000, 2069.6, 16.5465, 2110.7, 13.121, 2274.56, 18.8994
59, 900.00000, 2153.73, 16.1154, 2138.35, 13.1373, 2439.46, 19.5194
59, 1800.00000, 2204.93, 18.3379, 2159.26, 13.6222, 2331.88, 20.4607
59, 2700.00000, 1743.42, 28.3547, 1731.1, 19.1548, 2055.85, 25.9021
60, 0.00000, 13903.6, 41.0807, 773.412, 61.8326, 1023.67, 67.1915
60, 900.00000, 1242.28, 48.1775, 1310.31, 31.1353, 1353.51, 37.6821
