bus,voltage
p13udm65795,1.0215351182247825
p13udm65796,1.0232179190578656
p13udm65797,1.0214639036323225
p13udm65800,1.0234301760426974
p13udm65801,1.0228657649653023
p13udm65806,1.0212585896919664
p13udm65807,1.0203198276044532
p13udm65808,1.0208857674376186
p13udm65810,1.021150602688256
p13udm65811,1.0230602051192896
p13udm65812,1.0235577084316576
p13udm65813,1.0221088120180206
p13udm65818,1.017694090961843
p13udm65819,1.0128340130435904
p13udm65820,1.015723394286813
p13udm65822,1.0153897371260046
p13udm65823,1.0173576714568116
p13udm65825,1.0165604506357253
p13udm65826,1.0170881866460268
p13udm65827,1.0178316851293208
p13udm65833,1.023486210693683
p13udm65834,1.0233093042949288
p13udm65835,1.0233340640729995
p13udm65837,1.0230296927722797
p13udm65839,1.0212881969686238
p13udm65840,1.0212672357006474
p13udm65845,1.0204296312391365
p13udm65846,1.0216422390293896
p13udm65848,1.0212439105949882
p13udm65849,1.0215598399200876
p13udm65884,1.0189635616322117
p13udm65886,1.0190880927757622
p13udm65888,1.016786590638559
p13udm65889,1.0186765702637934
p13udm65890,1.0162199341723386
p13udm65891,1.0176259608047102
p13udm65893,1.0184625329237553
p13udm65898,1.020834907564721
p13udm65899,1.0219802162463743
p13udm65901,1.022118005195889
p13udm65905,1.0188549727499132
p13udm65909,1.0190147120198092
p13udm65911,1.01854497715317
p13udm65912,1.018062011413519
p13udm65913,1.017843191150472
p13udm65916,1.0178978091691402
p13udm65917,1.0185335616411422
p13udm65919,1.017532793114097
p13udm65922,1.0176919378198301
p13udm65924,1.018502949625421
p13udm65926,1.0183486817745486
p13udm65928,1.0237600568612564
p13udm65929,1.0216965116729915
p13udm65930,1.022547535637775
p13udm65931,1.0238074865177884
p13udm65933,1.0242646837996836
p13udm65936,1.02229139333399
p13udm65937,1.0224812562272572
p13udm65939,1.0220919252739038
p13udm65941,1.0222960770291354
p13udm65943,1.023167241368525
p13udm65945,1.0229276049491798
p13udm65946,1.0202010027430628
p13udm65947,1.0197602590612458
p13udm65948,1.0205295238403034
p13udm65949,1.0188774696497451
p13udm65950,1.019738681899847
p13udm65952,1.0189226211338318
p13udm65953,1.0200049215914078
p13udm65958,1.0236583581123773
p13udm65959,1.0224298975062838
p13udm65960,1.0235189964617852
p13udm65963,1.0172640539218298
p13udm65966,1.0143877320292267
p13udm65968,1.0142202762526669
p13udm65969,1.0226410536579034
p13udm65970,1.021761880865789
p13udm65973,1.0214354559107306
p13udm65975,1.0142393352315682
p13udm65976,1.0136959690493594
p13udm65978,1.015185854051504
p13udm65979,1.0119848450780502
p13udm65981,1.0136685931568936
p13udm65982,1.0152218368536705
p13udm65985,1.0143814258242094
p13udm65988,1.0145174476759014
p13udm65997,1.0139748585363013
p13udm65998,1.014674570136864
p13udm65999,1.0153848839245796
p13udm66002,1.01240468552428
p13udm66006,1.017887970259622
p13udm66007,1.0182069178488955
p13udm66008,1.0175538258257164
p13udm66009,1.0184717968487362
p13udm66010,1.0167972763829352
p13udm66014,1.0191333414936448
p13udm66016,1.0139298078784307
p13udm66018,1.015356797866164
p13udm66019,1.0148144380115671
p13udm66020,1.0149575490374785
p13udm66021,1.014395513133451
p13udm66022,1.0173445070164764
p13udm66025,1.0178993835346577
p13udm66028,1.0171972717131226
p13udm66029,1.0226660960100051
p13udm66032,1.0220056817207932
p13udm66033,1.0224136474553567
p13udm66036,1.022007256350188
p13udm66037,1.0162855259479195
p13udm66038,1.0160864087153305
p13udm66039,1.0170822689827324
